id;  word;pos;translate
2129;   definition;n;definisi
2130;   priority;n;prioritas
2131;   bread;n;roti
2132;   creation;n;penciptaan
2133;   graduate;n;kelulusan
2134;   request;n;permintaan
2135;   emotion;n;emosi
2136;   scream;v;menjerit
2137;   dramatic;j;dramatis
2138;   universe;n;alam semesta
2139;   gap;n;celah
2140;   excellent;j;sangat baik
2141;   deeply;r;dalam
2142;   prosecutor;n;jaksa
2143;   mark;n;tanda
2144;   green;n;hijau
2145;   lucky;j;beruntung
2146;   drag;v;menyeret
2147;   airline;n;perusahaan penerbangan
2148;   library;n;perpustakaan
2149;   agenda;n;jadwal
2150;   recover;v;memulihkan
2151;   factory;n;pabrik
2152;   selection;n;pilihan
2153;   primarily;r;terutama
2154;   roof;n;atap
2155;   unable;j;tidak mampu
2156;   expense;n;biaya
2157;   initiative;n;prakarsa
2158;   diet;n;diet
2159;   arrest;v;menangkap
2160;   funding;n;dana
2161;   therapy;n;terapi
2162;   wash;v;mencuci
2163;   schedule;n;susunan acara
2164;   sad;j;sedih
2165;   brief;j;singkat
2166;   housing;n;perumahan
2167;   post;n;pos
2168;   purchase;v;membeli
2169;   existing;j;ada
2170;   dark;n;kegelapan
2171;   steel;n;baja
2172;   regarding;i;mengenai
2173;   shout;v;berteriak
2174;   remaining;j;yang tersisa
2175;   visual;j;visual
2176;   fairly;r;cukup
2177;   chip;n;keping
2178;   violent;j;hebat
2179;   silent;j;diam
2180;   suppose;v;menyangka
2181;   self;n;diri
2182;   bike;n;sepeda
2183;   tea;n;teh
2184;   perceive;v;mempersepsikan
2185;   comparison;n;perbandingan
2186;   settlement;n;penyelesaian
2187;   layer;n;lapisan
2188;   planning;n;perencanaan
2189;   far;c;jauh
2190;   description;n;deskripsi
2191;   later;j;kemudian
2192;   slow;v;mengurangi kecepatan
2193;   slide;v;meluncur
2194;   widely;r;secara luas
2195;   wedding;n;pernikahan
2196;   inform;v;memberitahu
2197;   portion;n;bagian
2198;   territory;n;wilayah
2199;   immediate;j;segera
2200;   opponent;n;lawan
2201;   abandon;v;mengabaikan
2202;   link;n;link
2203;   mass;j;massa
2204;   lake;n;danau
2205;   transform;v;mengubah
2206;   tension;n;ketegangan
2207;   display;n;layar
2208;   leading;j;terkemuka
2209;   bother;v;mengganggu
2210;   consist;v;terdiri
2211;   alcohol;n;alkohol
2212;   enable;v;memungkinkan
2213;   bend;v;membengkokkan
2214;   saving;n;penghematan
2215;   gain;n;perolehan
2216;   desert;n;gurun
2217;   shall;v;akan
2218;   error;n;kesalahan
2219;   release;n;pelepasan
2220;   cop;n;polisi
2221;   arab;j;arab
2222;   double;j;dua kali lipat
2223;   walk;n;berjalan
2224;   sand;n;pasir
2225;   spanish;j;spanyol
2226;   rule;v;memerintah
2227;   hit;n;pukulan
2228;   print;n;cetakan
2229;   preserve;v;mempertahankan
2230;   passage;n;bagian
2231;   formal;j;resmi
2232;   transition;n;transisi
2233;   existence;n;wujud
2234;   album;n;album
2235;   participation;n;partisipasi
2236;   arrange;v;mengatur
2237;   atmosphere;n;suasana
2238;   joint;j;bersama
2239;   reply;v;membalas
2240;   cycle;n;siklus
2241;   opposite;j;seberang
2242;   lock;v;mengunci
2243;   whole;n;seluruh
2244;   deserve;v;pantas menerima
2245;   consistent;j;konsisten
2246;   resistance;n;perlawanan
2247;   discovery;n;penemuan
2248;   tear;v;merobek
2249;   exposure;n;eksposur
2250;   pose;v;mengajukan
2251;   stream;n;aliran
2252;   sale;n;penjualan
2253;   trust;n;kepercayaan
2254;   benefit;v;menikmati
2255;   pot;n;pot
2256;   grand;j;agung
2257;   mine;p;milik saya
2258;   hello;u;halo
2259;   coalition;n;koalisi
2260;   tale;n;kisah
2261;   knife;n;pisau
2262;   resolve;v;menyelesaikan
2263;   racial;j;rasial
2264;   phase;n;tahap
2265;   present;n;hadiah
2266;   joke;n;lelucon
2267;   coat;n;mantel
2268;   mexican;j;meksiko
2269;   symptom;n;gejala
2270;   contact;v;menghubungi
2271;   manufacturer;n;pabrikan
2272;   philosophy;n;filsafat
2273;   potato;n;kentang
2274;   interview;v;mewawancarai
2275;   foundation;n;dasar
2276;   quote;v;mengutip
2277;   online;j;on line
2278;   pass;n;operan
2279;   negotiation;n;perundingan
2280;   good;n;baik
2281;   urge;v;mendesak
2282;   occasion;n;kesempatan
2283;   dust;n;debu
2284;   breathe;v;bernafas
2285;   elect;v;memilih
2286;   investigator;n;peneliti
2287;   jacket;n;jaket
2288;   glad;j;senang
2289;   ordinary;j;biasa
2290;   reduction;n;pengurangan
2291;   rarely;r;jarang
2292;   shift;n;perubahan
2293;   pack;v;mengepak
2294;   suicide;n;bunuh diri
2295;   numerous;j;banyak sekali
2296;   touch;n;sentuhan
2297;   substance;n;zat
2298;   discipline;n;disiplin
2299;   elsewhere;r;di tempat lain
2300;   iron;n;besi
2301;   practical;j;praktis
2302;   moreover;r;bahkan
2303;   passion;n;gairah
2304;   volunteer;n;sukarelawan
2305;   implement;v;melaksanakan
2306;   essentially;r;intinya
2307;   gene;n;gen
2308;   enforcement;n;pelaksanaan
2309;   vs;i;melawan (versus)
2310;   sauce;n;saus
2311;   independence;n;kemerdekaan
2312;   marketing;n;pemasaran
2313;   priest;n;imam
2314;   amazing;j;menakjubkan
2315;   intense;j;intens
2316;   advance;n;muka
2317;   employer;n;majikan
2318;   shock;n;syok
2319;   inspire;v;mengilhami
2320;   adjust;v;menyesuaikan
2321;   retire;v;mundur
2322;   sure;r;tentunya
2323;   visible;j;terlihat
2324;   kiss;v;mencium
2325;   illness;n;penyakit
2326;   cap;n;topi
2327;   habit;n;kebiasaan
2328;   competitive;j;kompetitif
2329;   juice;n;jus
2330;   congressional;j;kongres
2331;   involvement;n;keterlibatan
2332;   dominate;v;menguasai
2333;   previously;r;sebelumnya
2334;   whenever;r;kapanpun
2335;   transfer;v;memindahkan
2336;   analyze;v;menganalisa
2337;   another;p;lainnya
2338;   attach;v;melampirkan
2339;   for;c;untuk
2340;   Indian;n;Indian
2341;   disaster;n;bencana
2342;   parking;n;tempat parkir
2343;   prospect;n;prospek
2344;   boss;n;bos
2345;   complaint;n;keluhan
2346;   championship;n;kejuaraan
2347;   coach;v;melatih
2348;   exercise;v;olahraga
2349;   fundamental;j;mendasar
2350;   severe;j;parah
2351;   enhance;v;menambah
2352;   mystery;n;misteri
2353;   impose;v;memaksakan
2354;   poverty;n;kemiskinan
2355;   other;i;lain
2356;   entry;n;tempat masuk
2357;   fat;j;gendut
2358;   spending;n;pengeluaran
2359;   king;n;raja
2360;   evaluate;v;evaluasi
2361;   symbol;n;simbol
2362;   still;j;masih
2363;   trade;v;perdagangan
2364;   maker;n;pembuat
2365;   mood;n;suasana hati
2366;   accomplish;v;menyelesaikan
2367;   emphasis;n;tekanan
2368;   illustrate;v;menjelaskan
2369;   boot;n;sepatu bot
2370;   monitor;v;memantau
2371;   asian;j;asia
2372;   entertainment;n;hiburan
2373;   bean;n;kacang
2374;   evaluation;n;evaluasi
2375;   creature;n;makhluk
2376;   commander;n;komandan
2377;   digital;j;digital
2378;   arrangement;n;pengaturan
2379;   concentrate;v;memusatkan
2380;   total;n;total
2381;   usual;j;biasa
2382;   anger;n;marah
2383;   psychological;j;psikologis
2384;   heavily;r;dengan berat
2385;   peak;n;puncak
2386;   approximately;r;sekitar
2387;   increasing;j;meningkat
2388;   disorder;n;kekacauan
2389;   missile;n;misil
2390;   equally;r;sama-sama
2391;   vary;v;berbeda
2392;   wire;n;kawat
2393;   round;n;bulat
2394;   distribution;n;distribusi
2395;   transportation;n;angkutan
2396;   holy;j;suci
2397;   ring;v;berdering
2398;   twin;n;kembar
2399;   command;n;perintah
2400;   commission;n;komisi
2401;   interpretation;n;penafsiran
2402;   breakfast;n;sarapan
2403;   stop;n;perhentian
2404;   strongly;r;dengan kuat
2405;   engineering;n;teknik
2406;   luck;n;keberuntungan
2407;   so-called;j;apa yang disebut
2408;   constant;j;konstan
2409;   race;v;berlomba
2410;   clinic;n;klinik
2411;   veteran;n;veteran
2412;   smell;v;berbau
2413;   tablespoon;n;sendok makan
2414;   capable;j;mampu
2415;   nervous;j;gugup
2416;   tourist;n;turis
2417;   light;v;menyalakan
2418;   toss;v;melambungkan
2419;   crucial;j;sangat penting
2420;   bury;v;mengubur
2421;   pray;v;berdoa
2422;   tomato;n;tomat
2423;   exception;n;pengecualian
2424;   butter;n;mentega
2425;   deficit;n;defisit
2426;   bathroom;n;kamar mandi
2427;   objective;n;objektif
2428;   block;v;memblokir
2429;   electronic;j;elektronik
2430;   ally;n;sekutu
2431;   journey;n;perjalanan
2432;   reputation;n;reputasi
2433;   mixture;n;campuran
2434;   surely;r;dengan pasti
2435;   tower;n;menara
2436;   smoke;n;asap
2437;   confront;v;menghadapi
2438;   pure;j;murni
2439;   glance;v;melihat sekilas
2440;   dimension;n;dimensi
2441;   toy;n;mainan
2442;   prisoner;n;tawanan
2443;   fellow;j;sesama
2444;   smooth;j;halus
2445;   nearby;j;dekat
2446;   peer;n;rekan
2447;   designer;n;perancang
2448;   personnel;n;personil
2449;   shape;v;membentuk
2450;   educator;n;pendidik
2451;   relative;n;sanak keluarga
2452;   immigration;n;imigrasi
2453;   belt;n;sabuk
2454;   teaspoon;n;sendok teh
2455;   birthday;n;ulang tahun
2456;   implication;n;implikasi
2457;   perfectly;r;dengan sempurna
2458;   coast;n;pantai
2459;   supporter;n;pendukung
2460;   accompany;v;menemani
2461;   silver;n;perak
2462;   teenager;n;remaja
2463;   recognition;n;pengakuan
2464;   retirement;n;pensiun
2465;   flag;n;bendera
2466;   recovery;n;pemulihan
2467;   whisper;v;membisikkan
2468;   watch;n;jam tangan
2469;   gentleman;n;pria
2470;   corn;n;jagung
2471;   moon;n;bulan
2472;   inner;j;bagian dalam
2473;   junior;j;muda
2474;   rather;c;agak
2475;   throat;n;tenggorokan
2476;   salary;n;gaji
2477;   swing;v;mengayunkan
2478;   observer;n;pengamat
2479;   due;j;karena
2480;   straight;j;lurus
2481;   publication;n;publikasi
2482;   pretty;j;cantik
2483;   crop;n;tanaman
2484;   dig;v;menggali
2485;   strike;n;serangan
2486;   permanent;j;permanen
2487;   plant;v;menanam
2488;   phenomenon;n;fenomena
2489;   anxiety;n;kegelisahan
2490;   unlike;i;tidak seperti
2491;   wet;j;basah
2492;   literally;r;secara harfiah
2493;   resist;v;menolak
2494;   convention;n;konvensi
2495;   embrace;v;merangkul
2496;   supply;v;menyediakan
2497;   assist;v;membantu
2498;   exhibition;n;pameran
2499;   construct;v;membangun
2500;   viewer;n;penonton
2501;   pan;n;panci
2502;   consultant;n;konsultan
2503;   soon;c;segera
2504;   line;v;melapisi
2505;   administrator;n;administrator
2506;   date;v;berkencan
2507;   occasionally;r;kadang
2508;   mayor;n;walikota
2509;   consideration;n;pertimbangan
2510;   CEO;n;CEO
2511;   secure;v;menjamin
2512;   pink;j;berwarna merah muda
2513;   smoke;v;merokok
2514;   estimate;n;perkiraan
2515;   buck;n;dollar
2516;   historic;j;bersejarah
2517;   poem;n;sajak
2518;   grandmother;n;nenek
2519;   bind;v;mengikat
2520;   fifth;m;kelima
2521;   constantly;r;senantiasa
2522;   enterprise;n;perusahaan
2523;   favor;v;menyokong
2524;   testing;n;pengujian
2525;   stomach;n;perut
2526;   apparent;j;semu
2527;   weigh;v;menimbang
2528;   install;v;memasang
2529;   sensitive;j;peka
2530;   suggestion;n;saran
2531;   mail;n;surat
2532;   recipe;n;resep
2533;   reasonable;j;masuk akal
2534;   preparation;n;persiapan
2535;   wooden;j;kayu
2536;   elementary;j;dasar
2537;   concert;n;konser
2538;   aggressive;j;agresif
2539;   false;j;salah
2540;   intention;n;niat
2541;   channel;n;saluran
2542;   extreme;j;ekstrim
2543;   tube;n;tabung
2544;   drawing;n;gambar
2545;   protein;n;protein
2546;   quit;v;berhenti
2547;   absence;n;ketiadaan
2548;   roll;n;gulungan
2549;   latin;j;latin
2550;   rapidly;r;cepat
2551;   jail;n;penjara
2552;   comment;v;mengomentari
2553;   diversity;n;perbedaan
2554;   honest;j;jujur
2555;   palestinian;j;palestina
2556;   pace;n;kecepatan
2557;   employment;n;pekerjaan
2558;   speaker;n;pembicara
2559;   impression;n;kesan
2560;   essay;n;karangan
2561;   respondent;n;responden
2562;   giant;j;raksasa
2563;   cake;n;kue
2564;   historian;n;sejarawan
2565;   negotiate;v;berunding
2566;   restore;v;mengembalikan
2567;   substantial;j;besar
2568;   pop;v;bermunculan
2569;   particular;r;tertentu
2570;   specialist;n;spesialis
2571;   origin;n;asal
2572;   approval;n;persetujuan
2573;   mine;n;ranjau
2574;   quietly;r;diam-diam
2575;   advise;v;menasihati
2576;   conventional;j;konvensional
2577;   drop;n;penurunan
2578;   count;n;menghitung
2579;   depth;n;kedalaman
2580;   wealth;n;kekayaan
2581;   disability;n;ketidakmampuan
2582;   shell;n;kulit
2583;   general;r;umum
2584;   criticize;v;mengkritik
2585;   fast;j;cepat
2586;   professional;n;profesional
2587;   effectively;r;efektif
2588;   biological;j;biologis
2589;   pack;n;bungkusan
2590;   onion;n;bawang
2591;   deputy;n;wakil
2592;   flat;j;datar
2593;   brand;n;merek
2594;   assure;v;memastikan
2595;   mad;j;gila
2596;   award;n;hadiah
2597;   criteria;n;kriteria
2598;   dealer;n;pedagang
2599;   via;i;melalui
2600;   alternative;j;alternatif
2601;   utility;n;kegunaan
2602;   precisely;r;dengan tepat
2603;   arise;v;timbul
2604;   armed;j;bersenjata
2605;   nevertheless;r;namun
2606;   highway;n;jalan raya
2607;   clinical;j;klinis
2608;   routine;n;rutin
2609;   schedule;v;merencanakan
2610;   wage;n;upah
2611;   normally;r;biasanya
2612;   phrase;n;frasa
2613;   ingredient;n;bahan
2614;   stake;n;saham
2615;   muslim;j;muslim
2616;   dream;v;bermimipi
2617;   fiber;n;serat
2618;   activist;n;aktivis
2619;   islamic;j;islam
2620;   snap;v;membentak
2621;   terrorism;n;terorisme
2622;   refugee;n;pengungsi
2623;   incorporate;v;menggabungkan
2624;   hip;n;panggul
2625;   ultimate;j;terakhir
2626;   switch;v;beralih
2627;   corporation;n;perusahaan
2628;   valuable;j;berharga
2629;   assumption;n;anggapan
2630;   gear;n;gigi
2631;   graduate;v;lulus
2632;   barrier;n;pembatas
2633;   minor;j;minor
2634;   provision;n;ketentuan
2635;   killer;n;pembunuh
2636;   assign;v;menetapkan
2637;   gang;n;gerombolan
2638;   developing;j;mengembangkan
2639;   classic;j;klasik
2640;   chemical;n;bahan kimia
2641;   wave;v;melambai
2642;   label;n;label
2643;   teen;n;remaja
2644;   index;n;indeks
2645;   vacation;n;liburan
2646;   advocate;n;pengacara
2647;   draft;n;konsep
2648;   extraordinary;j;luar biasa
2649;   heaven;n;surga
2650;   rough;j;kasar
2651;   yell;v;berteriak
2652;   pregnant;j;hamil
2653;   distant;j;jauh
2654;   drama;n;drama
2655;   satellite;n;satelit
2656;   personally;r;sendiri
2657;   wonder;n;keajaiban
2658;   clock;n;jam
2659;   chocolate;n;cokelat
2660;  italian;j;italia
2661;   canadian;j;canada
2662;   ceiling;n;plafon
2663;   sweep;v;menyapu
2664;   advertising;n;iklan
2665;   universal;j;universal
2666;   spin;v;berputar
2667;   house;v;menyediakan rumah
2668;   button;n;tombol
2669;   bell;n;bel
2670;   rank;n;pangkat
2671;   darkness;n;kegelapan
2672;   ahead;i;di depan
2673;   clothing;n;pakaian
2674;   super;j;super
2675;   yield;v;menghasilkan
2676;   fence;n;pagar
2677;   portrait;n;potret
2678;   paint;n;cat
2679;   survival;n;kelangsungan hidup
2680;   roughly;r;kurang lebih
2681;   lawsuit;n;gugatan
2682;   bottom;j;bawah
2683;   testimony;n;kesaksian
2684;   bunch;n;kumpulan
2685;   beat;n;denyut
2686;   wind;v;melilit
2687;   found;v;mendirikan
2688;   burden;n;beban
2689;   react;v;reaksi
2690;   chamber;n;ruang
2691;   furniture;n;mebel
2692;   cooperation;n;kerja sama
2693;   string;n;tali
2694;   ceremony;n;upacara
2695;   communicate;v;menyampaikan
2696;   taste;v;mencicipi
2697;   cheek;n;pipi
2698;   lost;j;kalah
2699;   profile;n;profil
2700;   mechanism;n;mekanisme
2701;   disagree;v;tidak setuju
2702;   like;r;seperti
2703;   penalty;n;penalti
2704;   match;n;pertandingan
2705;   ie;r;yaitu
2706;   advance;v;memajukan
2707;   resort;n;tempat istirahat
2708;   destruction;n;penghancuran
2709;   bear;n;beruang
2710;   unlikely;j;tidak sepertinya
2711;   tissue;n;tisu
2712;   constitutional;j;konstitusional
2713;   pant;n;nafas pendek
2714;   stranger;n;orang asing
2715;   infection;n;infeksi
2716;   cabinet;n;kabinet
2717;   broken;j;rusak
2718;   apple;n;apel
2719;   electric;j;listrik
2720;   proceed;v;memproses
2721;   track;v;mengikuti jejak
2722;   bet;v;bertaruh
2723;   literary;j;sastra
2724;   virus;n;virus
2725;   stupid;j;bodoh
2726;   dispute;n;perselisihan
2727;   fortune;n;nasib
2728;   strategic;j;strategis
2729;   assistant;n;asisten
2730;   overcome;v;mengatasi
2731;   remarkable;j;luar biasa
2732;   occupy;v;menempati
2733;   statistics;n;statistik
2734;   shopping;n;perbelanjaan
2735;   cousin;n;sepupu
2736;   encounter;v;menghadapi
2737;   wipe;v;menyeka
2738;   initially;r;mulanya
2739;   blind;j;buta
2740;   white;n;putih
2741;   port;n;pelabuhan
2742;   honor;v;menghormati
2743;   electricity;n;listrik
2744;   genetic;j;genetik
2745;   adviser;n;penasihat
2746;   pay;n;gaji
2747;   spokesman;n;juru bicara
2748;   retain;v;menahan
2749;   latter;d;terakhir
2750;   incentive;n;insentif
2751;   slave;n;budak
2752;   chemical;j;bahan kimia
2753;   translate;v;menterjemahkan
2754;   accurate;j;tepat
2755;   whereas;c;sedangkan
2756;   terror;n;teror
2757;   though;r;meskipun
2758;   expansion;n;perluasan
2759;   elite;n;elite
2760;   olympic;j;olimpiade
2761;   dirt;n;kotoran
2762;   odd;j;aneh
2763;   rice;n;nasib
2764;   bullet;n;peluru
2765;   tight;j;ketat
2766;   bible;n;alikitab
2767;   chart;n;grafik
2768;   solar;j;tenaga surya
2769;   decline;n;kemunduran
2770;   conservative;n;konservatif
2771;   process;v;mengolah
2772;   square;j;kotak
2773;   stick;n;tongkat
2774;   concentration;n;konsentrasi
2775;   complicated;j;rumit
2776;   gently;r;dengan lembut
2777;   champion;n;juara
2778;   scenario;n;skenario
2779;   telescope;n;teleskop
2780;   reflection;n;refleksi
2781;   revolution;n;revolusi
2782;   strip;n;bilah
2783;   interpret;v;menafsirkan
2784;   friendly;j;ramah
2785;   tournament;n;turnamen
2786;   fiction;n;fiksi
2787;   detect;v;mendeteksi
2788;   balance;v;mengimbangkan
2789;   likely;r;mungkin sekali
2790;   tremendous;j;dahsyat
2791;   lifetime;n;seumur hidup
2792;   recommendation;n;rekomendasi
2793;   flow;v;mengalir
2794;   senator;n;senator
2795;   market;v;memasarkan
2796;   hunting;n;berburu
2797;   salad;n;salad
2798;   guarantee;v;menjamin
2799;   innocent;j;tidak bersalah
2800;   boundary;n;batas
2801;   pause;v;berhenti sebentar
2802;   remote;j;terpencil
2803;   satisfaction;n;kepuasan
2804;   journal;n;jurnal
2805;   bench;n;bangku
2806;   lover;n;kekasih
2807;   raw;j;mentah
2808;   awareness;n;kesadaran
2809;   surprising;j;mengejutkan
2810;   withdraw;v;menarik diri
2811;   general;n;umum
2812;   deck;n;geladak
2813;   similarly;r;demikian pula
2814;   newly;r;baru saja
2815;   pole;n;tiang
2816;   testify;v;bersaksi
2817;   mode;n;mode
2818;   dialogue;n;dialog
2819;   imply;v;berarti
2820;   naturally;r;tentu saja
2821;   mutual;j;saling
2822;   founder;n;pendiri
2823;   top;i;puncak
2824;   advanced;j;maju
2825;   pride;n;kebanggaan
2826;   dismiss;v;memberhentikan
2827;   aircraft;n;pesawat terbang
2828;   delivery;n;pengiriman
2829;   mainly;r;terutama
2830;   bake;v;membakar
2831;   freeze;v;membekukan
2832;   platform;n;mimbar
2833;   finance;n;keuangan
2834;   sink;v;tenggelam
2835;   attractive;j;menarik
2836;   respect;v;menghormati
2837;   diverse;j;berbeda
2838;   relevant;j;relevan
2839;   ideal;j;ideal
2840;   joy;n;kegembiraan
2841;   worth;n;bernilai
2842;   regularly;r;secara teratur
2843;   working;j;kerja
2844;   singer;n;penyanyi
2845;   evolve;v;berkembang
2846;   shooting;n;penembakan
2847;   partly;r;sebagian
2848;   unknown;j;tidak diketahui
2849;   assistant;j;pembantu
2850;   offense;n;   offense
2851;   counter;n;penghitung
2852;   DNA;n;DNA
2853;   smell;n;bau
2854;   potentially;r;berpotensi
2855;   transfer;n;pemindahan
2856;   thirty;m;tigapuluh
2857;   justify;v;membenarkan
2858;   protest;n;protes
2859;   crash;n;tabrakan
2860;   craft;n;kerajinan
2861;   treaty;n;perjanjian
2862;   terrorist;n;teroris
2863;   insight;n;wawasan
2864;   possess;v;memiliki
2865;   politically;r;secara politis
2866;   tap;v;mengetuk
2867;   lie;n;kebohongan
2868;   extensive;j;luas
2869;   episode;n;episode
2870;   double;v;menggandakan
2871;   swim;v;berenang
2872;   tire;v;melelahkan
2873;   fault;n;kesalahan
2874;   loose;j;longgar
2875;   free;v;membebaskan
2876;   shortly;r;segera
2877;   originally;r;semula
2878;   considerable;j;besar
2879;   prior;i;sebelumnya
2880;   intellectual;j;intelektual
2881;   mix;n;campuran
2882;   assault;n;serangan
2883;   relax;v;bersantai
2884;   stair;n;anak tangga
2885;   adventure;n;petualangan
2886;   external;j;luar
2887;   proof;n;bukti
2888;   confident;j;percaya diri
2889;   headquarters;n;markas besar
2890;   sudden;j;tiba-tiba
2891;   dirty;j;kotor
2892;   violation;n;pelanggaran
2893;   tongue;n;lidah
2894;   license;n;lisensi
2895;   hold;n;memegang
2896;   shelter;n;tempat perlindungan
2897;   rub;v;menggosok
2898;   controversy;n;kontroversi
2899;   entrance;n;jalan masuk
2900;   favorite;n;favorit
2901;   practice;v;berlatih
2902;   properly;r;tepat
2903;   fade;v;luntur
2904;   defensive;j;defensif
2905;   tragedy;n;tragedi
2906;   net;n;jaring
2907;   characterize;v;mencirikan
2908;   funeral;n;pemakaman
2909;   profession;n;profesi
2910;   alter;v;mengubah
2911;   spot;v;melihat
2912;   constitute;v;merupakan
2913;   establishment;n;pembentukan
2914;   squeeze;v;meremas
2915;   imagination;n;imajinasi
2916;   target;v;merencanakan
2917;   mask;n;topeng
2918;   convert;v;mengubah
2919;   comprehensive;j;menyeluruh
2920;   prominent;j;menonjol
2921;   presentation;n;presentasi
2922;   regardless;r;tidak peduli
2923;   easy;r;dengan mudah
2924;   load;v;memuat
2925;   stable;j;stabil
2926;   introduction;n;pengantar
2927;   appeal;v;menarik
2928;   pretend;v;berpura-pura
2929;   not;c;tidak
2930;   elderly;j;tua
2931;   representation;n;perwakilan
2932;   deer;n;rusa
2933;   split;v;membagi
2934;   violate;v;melanggar
2935;   partnership;n;kemitraan
2936;   pollution;n;polusi
2937;   emission;n;emisi
2938;   steady;j;mantap
2939;   vital;j;vital
2940;   neither;d;tidak ada
2941;   fate;n;takdir
2942;   earnings;n;pendapatan
2943;   oven;n;tungku
2944;   distinction;n;perbedaan
2945;   segment;n;segmen
2946;   nowhere;r;tidak ada tempat
2947;   poet;n;penyair
2948;   mere;j;belaka
2949;   exciting;j;seru
2950;   variation;n;variasi
2951;   comfort;n;kenyamanan
2952;   radical;j;radikal
2953;   stress;v;menekankan
2954;   adapt;v;menyesuaikan
2955;   irish;j;orang irlandia
2956;   honey;n;madu
2957;   correspondent;n;koresponden
2958;   pale;j;pucat
2959;   musician;n;pemusik
2960;   significance;n;makna
2961;   load;n;muatan
2962;   round;j;bulat
2963;   vessel;n;kapal
2964;   storage;n;penyimpanan
2965;   flee;v;melarikan diri
2966;   mm-hmm;u;mm-hmm
2967;   leather;n;kulit
2968;   distribute;v;mengedarkan
2969;   evolution;n;evolusi
2970;   ill;j;sakit
2971;   tribe;n;suku
2972;   shelf;n;rak
2973;   can;n;kaleng
2974;   grandfather;n;kakek
2975;   lawn;n;halaman rumput
2976;   buyer;n;pembeli
2977;   dining;n;makan
2978;   wisdom;n;kebijaksanaan
2979;   council;n;dewan
2980;   vulnerable;j;rentan
2981;   instance;n;contoh
2982;   garlic;n;bawang putih
2983;   capability;n;kemampuan
2984;   poetry;n;puisi
2985;   celebrity;n;selebriti
2986;   gradually;r;bertahap
2987;   stability;n;stabilitas
2988;   doubt;v;keraguan
2989;   fantasy;n;fantasi
2990;   scared;j;takut
2991;   guide;v;memandu
2992;   plot;n;alur
2993;   framework;n;kerangka
2994;   gesture;n;sikap
2995;   depending;i;tergantung
2996;   ongoing;j;sedang berlangsung
2997;   psychology;n;psikologi
2998;   since;r;sejak
2999;   counselor;n;penasihat
3000;   witness;v;menyaksikan
3001;   chapter;n;bab
3002;   fellow;n;sesama
3003;   divorce;n;perceraian
3004;   owe;v;berhutang
3005;   pipe;n;pipa
3006;   athletic;j;atletis
3007;   slight;j;sedikit
3008;   math;n;matematika
3009;   shade;n;naungan
3010;   tail;n;ekor
3011;   sustain;v;menopang
3012;   mount;v;meningkat
3013;   obligation;n;kewajiban
3014;   angle;n;sudut
3015;   palm;n;telapak tangan
3016;   differ;v;berbeda
3017;   custom;n;adat
3018;   store;v;menyimpan
3019;   economist;n;ekonom
3020;   fifteen;m;limabelas
3021;   soup;n;sup
3022;   celebration;n;perayaan
3023;   efficient;j;efisien
3024;   damage;v;merusak
3025;   composition;n;komposisi
3026;   satisfy;v;memuaskan
3027;   pile;n;tumpukan
3028;   briefly;r;secara singkat
3029;   carbon;n;karbon
3030;   closer;j;lebih dekat
3031;   consume;v;mengkonsumsi
3032;   scheme;n;skema
3033;   crack;n;retakan
3034;   frequency;n;frekuensi
3035;   tobacco;n;tembakau
3036;   survivor;n;orang yang selamat
3037;   besides;r;sebagai tambahan
3038;   in;c;di
3039;   psychologist;n;psikolog
3040;   wealthy;j;kaya
3041;   galaxy;n;galaksi
3042;   given;j;diberikan
3043;   fund;v;membiayai
3044;   ski;n;permainan ski
3045;   limitation;n;keterbatasan
3046;   OK;j;baik
3047;   trace;v;mengikuti jejak
3048;   appointment;n;janji
3049;   preference;n;pilihan
3050;   meter;n;meter
3051;   explosion;n;ledakan
3052;   arrest;n;menangkap
3053;   publicly;r;di depan umum
3054;   incredible;j;luar biasa
3055;   fighter;n;pejuang
3056;   rapid;j;cepat
3057;   admission;n;penerimaan
3058;   hunter;n;pemburu
3059;   educate;v;mendidik
3060;   painful;j;menyakitkan
3061;   hay;n;jerami
3062;   aide;n;pembantu
3063;   infant;n;bayi
3064;   calculate;v;menghitung
3065;   fifty;m;lima puluh
3066;   rid;v;membersihkan
3067;   porch;n;beranda
3068;   tendency;n;kecenderungan
3069;   uniform;n;seragam
3070;   formation;n;pembentukan
3071;   scholarship;n;beasiswa
3072;   reservation;n;reservasi
3073;   efficiency;n;efisiensi
3074;   waste;v;membuang
3075;   qualify;v;memenuhi syarat
3076;   mall;n;mall
3077;   derive;v;memperoleh
3078;   scandal;n;skandal
3079;   PC;n;PC
3080;   helpful;j;bermanfaat
3081;   impress;v;mengesankan
3082;   heel;n;tumit
3083;   resemble;v;menyerupai
3084;   privacy;n;keleluasaan pribadi
3085;   fabric;n;kain
3086;   surprise;v;mengherankan
3087;   contest;n;kontes
3088;   proportion;n;proporsi
3089;   guideline;n;pedoman
3090;   rifle;n;senapan
3091;   maintenance;n;pemeliharaan
3092;   conviction;n;keyakinan
3093;   trick;n;tipuan
3094;   organic;j;organik
3095;   tent;n;tenda
3096;   examination;n;pemeriksaan
3097;   publisher;n;penerbit
3098;   strengthen;v;memperkuat
3099;   French;n;Perancis
3100;   proposed;j;diusulkan
3101;   myth;n;mitos
